CONTENT          stedelijke uurfactor
COMP             NO2
YEAR             2015
VERSION          1.0
RELEASE_DATE     4/3/2016
DATE_FORMAT      YYMMDD
DATA_FORMAT      F7.3
NODATA           -9.999

150121  15  0.225
150121  16  0.156
150121  17  0.767
150121  18  1.128
150121  19  1.173
150121  20  1.046
150121  21  1.070
150121  22  0.831
150121  23  0.347
150121  24  0.445
150122  01 -0.944
150122  02 -0.971
150122  03 -0.297
150122  04 -0.894
150122  05 -0.403
150122  06  0.063
150122  07  0.116
150122  08  0.130
150122  09  0.363
150122  10  0.845
150122  11  0.458
150122  12 -0.127
150122  13 -0.292
150122  14  0.767
150122  15  0.572
150122  16  0.442
150122  17 -0.153
150122  18 -0.281
150122  19 -1.007
150122  20 -0.248
150122  21  1.166
150122  22  1.315
150122  23  0.727
150122  24 -0.589
150123  01  0.566
150123  02 -0.305
150123  03  0.761
150123  04  0.997
150123  05  1.257
150123  06  1.768
150123  07  2.120
150123  08  2.751
150123  09  4.030
150123  10  3.637
150123  11  2.012
150123  12  1.608
150123  13  1.054
150123  14  0.636
150123  15  1.132
150123  16  1.410
150123  17  1.738
150123  18  1.518
150123  19  0.751
150123  20 -0.166
150123  21 -0.408
150123  22 -0.984
150123  23 -1.102
150123  24 -0.928
150124  01 -1.734
150124  02 -1.386
150124  03 -0.313
150124  04 -0.942
150124  05 -0.619
150124  06 -0.089
150124  07  0.592
150124  08  1.646
150124  09  1.541
150124  10  1.425
150124  11  2.666
150124  12  3.006
150124  13  2.394
150124  14  1.532
150124  15  1.595
150124  16  1.154
150124  17  1.500
150124  18  2.163
150124  19  3.200
150124  20  4.285
150124  21  4.704
150124  22  4.819
150124  23  4.615
150124  24  4.629
150125  01  4.988
150125  02  4.460
150125  03  3.628
150125  04  3.151
150125  05  3.113
150125  06  2.971
150125  07  1.027
150125  08  0.449
150125  09  2.038
150125  10  2.691
150125  11  2.039
150125  12  1.017
150125  13  0.987
150125  14  0.703
150125  15  1.263
150125  16  2.035
150125  17  2.278
150125  18  2.841
150125  19  2.446
150125  20  2.449
150125  21  2.089
150125  22  1.830
150125  23  1.864
150125  24  1.279
150126  01  0.740
150126  02  1.170
150126  03  1.349
150126  04  0.841
150126  05  1.069
150126  06  1.862
150126  07  2.542
150126  08  2.922
150126  09  2.918
150126  10  2.798
150126  11  2.300
150126  12  2.510
150126  13  2.825
150126  14  2.946
150126  15  2.277
150126  16  0.627
150126  17  1.006
150126  18  1.680
150126  19  1.815
150126  20  1.358
150126  21  1.226
150126  22  1.009
150126  23  1.118
150126  24  1.098
150127  01  0.775
150127  02  0.615
150127  03  0.789
150127  04  0.834
150127  05  0.767
150127  06  1.941
150127  07  3.876
150127  08  4.968
150127  09  6.024
150127  10  4.465
150127  11  3.606
150127  12  2.803
150127  13  2.019
150127  14  1.126
150127  15  0.844
150127  16  1.812
150127  17  2.278
150127  18  2.247
150127  19  2.530
150127  20  3.711
150127  21  4.191
150127  22  4.244
150127  23  2.688
150127  24  1.085
150128  01 -0.752
150128  02 -0.134
150128  03  1.153
150128  04  0.172
